100,,Kap,Phe,CD-44  101,2262,215092,,,,,,,,,0,21,17.1,S,44,14,5,0,26,12.2,S,43,40,48,318.42,-72.68,3.94,,,0.17,,0.11,,0.08,,  A7V,,0.109,0.029,,0.072,11,,219,,,,,
101,10,,Cet,BD-00   63,2273,128760,,,,,,,,Var?,0,21,29.6,S,0,36,12,0,26,37.4,S,0,2,59,109.5,-62.27,6.19,,,0.9,,0.55,,,,  G8III,,0.073,-0.001,,,-23,V,,,,,,  *
102,,,,CD-26  138,2363,166282,2025,,,,,,,,0,22,14,S,26,6,1,0,27,14.7,S,25,32,50,47.84,-84.35,5.98,,,1.03,,0.88,,,,  G8III,,0.036,-0.019,,,-3,,,,,,,
103,47,,Psc,BD+17   55,2411,91910,,I,,,,,,TV Psc,0,22,50,N,17,20,21,0,28,2.9,N,17,53,35,115.1,-44.62,5.06,,,1.65,,1.82,,1.54,,  M3III,v,0.117,0.021,,0.016,6,V,,,,,,  *
104,,,,BD+43   92,2421,36390,2027,,,,,,,,0,22,51.1,N,43,50,29,0,28,13.7,N,44,23,40,118.57,-18.28,5.17,,,0.03,,-0.01,,,,  A2V s,,0.089,-0.016,,0.013,2,SB1O,36,,,,,  *
105,,Eta,Scl,CD-33  152,2429,192545,2026,,,,,,,Eta Scl,0,22,58.2,S,33,33,33,0,27,55.7,S,33,0,26,342.36,-82.23,4.81,,,1.64,,1.81,,1.38,,  M4III,,-0.019,-0.052,,-0.014,11,,,,,,,  *
106,48,,Psc,BD+15   63,2436,91912,1012,I,,,,,,,0,23,0.9,N,15,53,32,0,28,12.7,N,16,26,42,114.89,-46.06,6.06,,,1.58,,2,,,,  K5III,,0.019,-0.015,,,-7,SB,,,,,,
107,,,,BD+09   47,2454,109224,2028,,,,,,,,0,23,9.8,N,9,38,32,0,28,20.1,N,10,11,23,113.62,-52.26,6.04,,,0.43,,-0.06,,,,  F6Va vw,,0.046,-0.207,,0.033,-10,V,8,,,,,  *
108,,,,BD-21   57,2475,166296,2029,,,W,,,,,0,23,20.2,S,20,53,7,0,28,21.1,S,20,20,6,83.87,-81.4,6.43,,,0.59,,-0.03,,,,  G0V,,-0.116,-0.114,D,0.034,6,V,,,0.1,0.2,,  *
109,,,,CD-40   93,2490,215103,,I,,,,,,,0,23,30.7,S,40,28,2,0,28,26.4,S,39,54,54,321.94,-76.35,5.43,,,1.56,,1.9,,,,  M0III,,0.13,-0.036,,0.015,32,,,,,,,  *
110,,,,BD+36   66,2507,53928,,,,,,,,,0,23,37.9,N,36,20,48,0,28,56.6,N,36,54,0,117.94,-25.75,6.26,,,0.92,,,,,,  G5III,,-0.011,0.003,,,10,,,,,,,
111,,,,CD-51  113,2529,232055,,,,,,,,,0,23,52.8,S,51,5,9,0,28,43.1,S,50,31,58,311.91,-66.2,6.26,,,1.09,,,,,,  K0III,,0.15,-0.002,,,6,,,,,,,
112,,,,BD+76   10,2589,4130,2031,,,,,,,,0,24,29.4,N,76,28,4,0,30,55,N,77,1,10,121.74,14.2,6.21,,,0.84,,0.54,,,,  K0IV,,0.337,-0.038,,0.023,19,,,,,,,  *
113,,,,BD+59   68,2626,21457,,,,,,41,2,,0,24,44.9,N,59,25,30,0,30,19.9,N,59,58,38,120.29,-2.79,5.94,,,0.01,,-0.36,,,,  B9IIIn,,0.017,-0.012,D,0.002,-17,V,225,:,2.2,0.5,AB, 3*
114,28,,And,BD+28   75,2628,74041,,,,,,40,9,GN And,0,24,50.6,N,29,12,1,0,30,7.3,N,29,45,6,117.42,-32.89,5.23,,,0.24,,0.09,,,,  A7III,,0.041,-0.054,,0.001,-10,,21,,7.1,139.3,AC, 3*
115,,,,BD-15   84,2630,147307,2030,,,,,,,,0,24,47.8,S,15,24,58,0,29,51.9,S,14,51,51,99.58,-76.75,6.14,,,0.37,,,,,,  F2III,,0.144,-0.032,,,3,,42,,,,,  *
116,,,,CD-32  154,2632,192567,,,,,,,,,0,24,51.6,S,32,40,5,0,29,48.9,S,32,7,0,344.92,-83.15,6.57,,,1.34,,,,,,  K4III,,-0.004,-0.054,,,1,,,,,,,
